spot_name,href,full_url,spot_type,lat,lng,county,id,Ideal Swell Dir,Ideal Wind Dir,Ideal Swell Angle,Ideal Wind Angle
Santa Clause,/breaks/Santa-Clause,https://www.surf-forecast.com/breaks/Santa-Clause,Beach,34.408,-119.552,Santa Barbara County,5db1cecf50b56600012feb6f,Southwest,Northeast,225,45
Santa Maria Rivermouth,/breaks/Santa-Maria-Rivermouth-Guadalupe-Beach,https://www.surf-forecast.com/breaks/Santa-Maria-Rivermouth-Guadalupe-Beach,Beach,34.9467,-120.6602,Santa Barbara County,640b8aae8284fe61a5ad0664,Southwest,East,225,90
Main Street,/breaks/Main-Street,https://www.surf-forecast.com/breaks/Main-Street,Sandbar,34.966,-120.655,Santa Barbara County,5842041f4e65fad6a7708e54,West-northwest,East-southeast,292.5,112.5
Surf Beach,/breaks/Surf-Beach_1,https://www.surf-forecast.com/breaks/Surf-Beach_1,Beach,34.6753,-120.6118,Santa Barbara County,5842041f4e65fad6a7708996,Northwest,Southeast,315,135
Pescaderos,/breaks/Pescaderos,https://www.surf-forecast.com/breaks/Pescaderos,Beach,34.4075,-119.8595,Santa Barbara County,5842041f4e65fad6a770897d,West-southwest,North-northwest,247.5,337.5
Beer Can Beach,/breaks/Beer-Can-Beach,https://www.surf-forecast.com/breaks/Beer-Can-Beach,Beach,36.9701,-121.9542,Santa Cruz County,613b99af6a25625a8eccc524,South-southwest,Northwest,202.5,315
Capitola Rivermouth,/breaks/Capitola-Rivermouth,https://www.surf-forecast.com/breaks/Capitola-Rivermouth,Beach/jetty,36.971,-121.948,Santa Cruz County,5842041f4e65fad6a7708ddf,South-southwest,Northeast,202.5,45
Santa Cruz - 26th,/breaks/Santa-Cruz-26th,https://www.surf-forecast.com/breaks/Santa-Cruz-26th,Beach,36.956,-121.981,Santa Cruz County,5842041f4e65fad6a770898a,Southwest,North-northwest,225,337.5
Sunset State Beach,/breaks/Sunset-State-Beach,https://www.surf-forecast.com/breaks/Sunset-State-Beach,Beach,36.8974,-121.8422,Santa Cruz County,584204214e65fad6a7709b9e,West,East,270,90
Santa Cruz Harbour,/breaks/Santa-Cruz-Harbour,https://www.surf-forecast.com/breaks/Santa-Cruz-Harbour,Beach/jetty,36.9618,-121.9997,Santa Cruz County,584204204e65fad6a77099d9,South-southwest,Northeast,202.5,45
Laguna Creek,/breaks/Laguna-Creek,https://www.surf-forecast.com/breaks/Laguna-Creek,Beach,37.0299,-122.2282,Santa Cruz County,5842041f4e65fad6a7708ec5,Southwest,Northeast,225,45
The Rivermouth,/breaks/The-Rivermouth,https://www.surf-forecast.com/breaks/The-Rivermouth,Sandbar,36.9634,-122.0151,Santa Cruz County,5842041f4e65fad6a77088b0,South-southwest,North,202.5,360
Manresa State Beach,/breaks/Manresa-State-Beach,https://www.surf-forecast.com/breaks/Manresa-State-Beach,Beach,36.9353,-121.8682,Santa Cruz County,5842041f4e65fad6a770898e,West,Northeast,270,45
Black Point Beach,/breaks/Black-Point-Beach,https://www.surf-forecast.com/breaks/Black-Point-Beach,Beach,38.8125,-123.6043,Mendocino County,5842041f4e65fad6a77089c9,West,Southeast,270,135
Russian Rivermouth,/breaks/Russian-Rivermouth,https://www.surf-forecast.com/breaks/Russian-Rivermouth,River,38.4512,-123.1436,Sonoma County,5842041f4e65fad6a77089c7,Southwest,East,225,90
Doran Beach,/breaks/Doran-Beach,https://www.surf-forecast.com/breaks/Doran-Beach,Beach,38.3097,-123.0291,Sonoma County,5842041f4e65fad6a77089c6,Southwest,North,225,360
Salmon Creek,/breaks/Salmon-Creek,https://www.surf-forecast.com/breaks/Salmon-Creek,Beach,38.3518,-123.0707,Sonoma County,5842041f4e65fad6a77089c8,West-southwest,East-southeast,247.5,112.5
Mondos,/breaks/Mondos,https://www.surf-forecast.com/breaks/Mondos,Sandbar,34.321,-119.375,Ventura County,584204204e65fad6a770904d,West,North-northwest,270,337.5
San Buenaventura State Beach,/breaks/San-Buenaventura-State-Beach,https://www.surf-forecast.com/breaks/San-Buenaventura-State-Beach,Beach,34.2668,-119.2819,Ventura County,584204204e65fad6a77099d4,Southwest,Northeast,225,45
New Jetty/South Jetty,/breaks/New-Jetty-South-Jetty,https://www.surf-forecast.com/breaks/New-Jetty-South-Jetty,Beach,34.246,-119.271,Ventura County,5842041f4e65fad6a7708a7b,West-southwest,Northeast,247.5,45
Santa Clara Rivermouth,/breaks/Santa-Clara-Rivermouth,https://www.surf-forecast.com/breaks/Santa-Clara-Rivermouth,Beach,34.2331,-119.2681,Ventura County,584204204e65fad6a77099e0,West-southwest,Northeast,247.5,45
Ormond Beach,/breaks/Ormond-Beach,https://www.surf-forecast.com/breaks/Ormond-Beach,Beach/jetty,34.1343,-119.1859,Ventura County,5842041f4e65fad6a7708aa4,Southwest,Northeast,225,45
Silver Strand,/breaks/Silver-Strand,https://www.surf-forecast.com/breaks/Silver-Strand,Sandbar,34.1528,-119.2244,Ventura County,640a3f8845190582e79caafd,West-northwest,East,292.5,90
Oxnard Shores,/breaks/Oxnard-Shores,https://www.surf-forecast.com/breaks/Oxnard-Shores,Beach,34.2222,-119.264,Ventura County,5842041f4e65fad6a770894c,West-southwest,East,247.5,90
Point Mugu,/breaks/Point-Mugu,https://www.surf-forecast.com/breaks/Point-Mugu,Beach,34.096,-119.113,Ventura County,5842041f4e65fad6a7708813,Southwest,North-northwest,225,337.5
Hollywood Beach,/breaks/Hollywood-Beach,https://www.surf-forecast.com/breaks/Hollywood-Beach,Beach,34.17,-119.234,Ventura County,a37cc93e-e3a5-11ed-8004-020f4c90c26f,Southwest,East-northeast,225,67.5
Port Hueneme Beach Park,/breaks/Port-Hueneme-Beach-Park,https://www.surf-forecast.com/breaks/Port-Hueneme-Beach-Park,Beach/jetty,34.1463,-119.2192,Ventura County,640a3f864eb37520359456ff,West-northwest,East,292.5,90
La Conchita Beach,/breaks/La-Conchita-Beach,https://www.surf-forecast.com/breaks/La-Conchita-Beach,Beach,34.3718,-119.4606,Ventura County,640f356343c1fb298443006c,Southwest,Northeast,225,45
